Questions,Value,Direction
Country group,0.00027494598,-0.00016445717
Country_Macedonia (FYROM),0.00027477887,-4.2829535e-05
As much time as would like with others (not family)?,0.00014736147,9.098078e-05
Citizenship - Country,4.4687105e-05,-3.433549e-05
Problems with accommodation - no toilet,4.4473654e-05,3.930343e-05
Citizenship - A non-EU country,0.0,0.0
Gender,0.0,0.0
Education - 3 groups,0.0,0.0
Citizenship - Another EU member,0.0,0.0
DV: Rural/urban living,0.0,0.0
Child care used in 12 months - refusal,0.0,0.0
Problems with accommodation - no bath/shower,0.0,0.0
Long term care used in 12 months - refusal,0.0,0.0
Someone close outside household used child care in 12 months,0.0,0.0
I or someone else in household used long term care in 12 months,0.0,0.0
Someone close outside household used long term care in 12 months,0.0,0.0
Child care used in 12 months - don't know,0.0,0.0
Country_Belgium,0.0,0.0
Rent/mortgage payments for accommodation,0.0,0.0
Can afford to pay for a week's annual holiday away?,0.0,0.0
Country_Bulgaria,0.0,0.0
Country_Latvia,0.0,0.0
Country_Ireland,0.0,0.0
Country_Hungary,0.0,0.0
Country_Iceland,0.0,0.0
Country_Greece,0.0,0.0
Country_Denmark,0.0,0.0
Country_Estonia,0.0,0.0
Country_Finland,0.0,0.0
Country_Croatia,0.0,0.0
Country_Netherlands,0.0,0.0
Country_Lithuania,0.0,0.0
Country_Malta,0.0,0.0
Country_Portugal,0.0,0.0
Country_Slovakia,0.0,0.0
Country_Slovenia,0.0,0.0
Country_Spain,0.0,0.0
