Questions,Value,Direction
Likelihood of leaving accom within 6 months,0.0022397018,0.0010223801
Household size - over 18,0.0020265752,-0.00018699982
Chronic health problems?,0.0018057703,-0.00014609603
Access to public transport?,0.0017443021,-7.177063e-05
I or someone else in household used child care in 12 months,0.0017357931,9.788025e-05
How frequently take part in sports or exercise?,0.0017110255,0.00032957416
How much tension between groups with different sexual orientation?,0.0016174833,0.00014566311
Country_Lithuania,0.0015867708,0.00013294228
Country_Poland,0.0015087499,-9.018909e-05
Difficult to see a doctor because of distance?,0.0014717177,-0.0004856209
Can afford to have friends or family for a drink/meal at least once a month?,0.001400177,0.00024305694
Household size,0.0013314894,-0.00015087826
How much tension between Management and Workers?,0.0011827933,-2.8621705e-05
Household financial expectations for th 12 months?,0.0010862859,0.00037598336
Tenure,0.0010665051,0.00036860994
As much time as would like with others (not family)?,0.0008761457,-0.000115994
Employment - 7 groups,0.0008570804,4.0307008e-05
DV: Rural/urban living,0.0008416129,0.00018537449
How much tension between Old and Young people?,0.0008007178,0.00015664751
Direct contact with parents,0.0007716629,0.00010828802
Payments for informal loans from friends/relatives,0.000708045,-0.00019487255
Country group,0.00064568245,5.1985375e-05
Phone/internet contact with parents,0.0006200941,-0.00025053663
Can afford to keep home adequately warm?,0.0006043945,-0.0004136126
Direct contact with children,0.0005850974,3.6610043e-05
How often cook and doing housework?,0.0003735329,6.7576036e-07
Child care used in 12 months - refusal,0.0003069165,6.816674e-05
How much tension between Poor and Rich?,0.0002887631,7.1554205e-05
As much time as would like on voluntary work?,0.0002857588,4.371786e-05
A person to get support from when looking for a job,0.0002458047,-1.1437663e-05
Problems with accommodation - rot in windows etc.,0.00024046,9.5368196e-05
No. of rooms in accommodation,0.00018746714,8.415114e-06
A person to get support from to raise emergency money,0.00013137134,6.928971e-05
Citizenship - A non-EU country,0.0,0.0
Phone/internet contact with children,0.0,0.0
Citizenship - Another EU member,0.0,0.0
Education - 3 groups,0.0,0.0
Income quartiles,0.0,0.0
Someone close outside household used long term care in 12 months,0.0,0.0
How much tension between Men and Women?,0.0,0.0
Someone close outside household used child care in 12 months,0.0,0.0
Child care used in 12 months - don't know,0.0,0.0
Problems with accommodation - damp or leaks,0.0,0.0
Problems with accommodation - no toilet,0.0,0.0
"Neighbourhood problems - crime, violence or vandalism",0.0,0.0
Problems with accommodation - space,0.0,0.0
Problems with accommodation - no bath/shower,0.0,0.0
Problems with accommodation - no outside space,0.0,0.0
Long term care used in 12 months - refusal,0.0,0.0
Difficult to see a doctor because of waiting time?,0.0,0.0
How much tension between different religious groups?,0.0,0.0
Nobody used long term care in 12 months,0.0,0.0
Country_Belgium,0.0,0.0
Financial situation of your household compared to 12 months ago?,0.0,0.0
Rent/mortgage payments for accommodation,0.0,0.0
Can afford a meal with meat/chicken/fish every second day?,0.0,0.0
Payments for consumer loans/credit cards,0.0,0.0
Country_Denmark,0.0,0.0
Country_France,0.0,0.0
Country_Finland,0.0,0.0
Country_Estonia,0.0,0.0
Country_Germany,0.0,0.0
Country_Iceland,0.0,0.0
Country_Bulgaria,0.0,0.0
Country_Croatia,0.0,0.0
Country_Czech Republic,0.0,0.0
Country_Ireland,0.0,0.0
Country_Greece,0.0,0.0
Country_Hungary,0.0,0.0
Country_Luxembourg,0.0,0.0
Country_Malta,0.0,0.0
Country_Macedonia (FYROM),0.0,0.0
Country_Netherlands,0.0,0.0
Country_Montenegro,0.0,0.0
Country_Romania,0.0,0.0
Country_Serbia,0.0,0.0
Country_Slovakia,0.0,0.0
Country_Slovenia,0.0,0.0
Country_Spain,0.0,0.0
Country_Sweden,0.0,0.0
Country_Turkey,0.0,0.0
Country_UK,0.0,0.0
